scene	split	size	http_etag	sha256
large_loop_2	test	662120470	5cf57274-27772816	f27a420f03628a1322bc03791b4cc3181d33c5a7fab640977747679b05587e1a
large_loop_3	test	627244519	5cf57501-2562fde7	aeef853eb907638de03067122f20fb62dc9ef7f41762855f5a433cec7690f164
large_non_loop	test	595207239	5cf57803-237a2447	311ae74a7018955e3763ff9809ba5a10b85be71499fbade2f7c1b5ac951e3c8f
mannequin_1	training	229320033	5cf547d9-dab2561	d1da44f77add66f91eb9933293ecbdd758567ee167cb29772ee548532cd16f67
mannequin_3	training	212506088	5cf544ba-caa95e8	b5d4a7142f05e35685007fa6684847bcfcf4b6aa3a65f09fcac156883d7e877e
mannequin_4	training	181453274	5cf5453b-ad0c1da	b2d5fd7821d432573a34b412954df020e135013515b4d0ff29545628702536e1
mannequin_5	training	294466008	5cf545b4-118d31d8	271f77022e999b3f387cc4e3a9562fbf2677dce5acb078673ff10a65c4304c69
mannequin_7	training	221813779	5cf54865-d389c13	43b53ab5608f54bdfeac57b2922da62989b0d14fee572b8722e9bf265569a0fe
mannequin_face_1	training	146063037	5cf546f4-8b4bebd	2dfdc507255dd7aa049fe69457f1e181dd0f9594f3e4c784eb5c7937171a67f7
mannequin_face_2	training	164238805	5cf548ed-9ca15d5	c8a400168b55cc008025cac577d135cac58725402fc96ccf2d0a280962aa58e6
mannequin_face_3	training	209437797	5cf54677-c7bc465	344821bf8be6a771616d457907cf7495f0dabbe0b08d049ddff6f78fbb959348
mannequin_head	training	232529338	5cf5474d-ddc1dba	a4f2cf0d5f141556781d52b5d592797414c5cc634d0a018407900db4cfb6a80c
motion_1	training	845265197	5cf56287-3261b92d	66abfeae32ccf2723b69d1aec4d36932b35540301985dbc68bf9c6ad1ed4b620
motion_2	test	151789352	5cf56968-90c1f28	01f5da4b7f217a19abb55a25027710638ace65a6e6d97f7fa110eeef5af5bd93
motion_3	test	414119938	5cf569d1-18aef802	2aa26c93e63a4a2291d8753604cfbf387aebf889055fc879657734ceacffb711
motion_4	test	1047574933	5cf56ae7-3e70b995	089df6750c963337f6b26a98d26d995658c1e5807a90d0f31593d13e0f1132de
planar_1	test	150667261	5cf57023-8fafffd	ab3025fd566e7b09f4149586a1bb23390a24c49350687f4d7286c4a7afc735d0
planar_2	training	313343035	5cf54347-12ad3c3b	66c73768a089078f084677355e94b25f82e55f65f85b699045a6104ad66082a2
planar_3	training	405229364	5cf543ef-18274f34	d1b20a0c52240b2f7e16f641c545d02007f3cac2d525db61fe7e4d16d9bc7dce
plant_1	training	24623715	5cf557a7-177ba63	8cb06e238313b170f2ba67ec15d94624e796415293524fec0b95dd0ade1ba051
plant_2	training	47690176	5cf557b7-2d7b1c0	8357cb6ae2d543fc61d8942acb5a4f4d6ab68521de5c662c4d7207519d40d415
plant_3	training	68247723	5cf557d2-41160ab	cd626b80237c3994d84f1c272fb685b47a28d6fb0dc901a40157f5cc9cb82214
plant_4	training	32045928	5cf557f7-1e8fb68	2b5045581b3ac35fd6ffd587a45aa2662fb8899b363836e1b8b4609655324499
plant_5	training	61960417	5cf5580a-3b170e1	c697c4829a5ca2b96f7e1bb3bc8a56efce1187e41a7d3e60252be265b7c65621
plant_scene_1	training	253054000	5cf55837-f154c30	2bb2f5c878303c9e325f319c006dd272b16c13a0eac9041a32005491700ae3eb
plant_scene_2	training	241373841	5cf558e2-e631291	e177e75a04384b1325379cd77b0b325a1dad8c0c36802e8cd205cadf964c0938
plant_scene_3	training	214662412	5cf5597d-ccb7d0c	9e74ec36aa8482a83b5412b8ae484f0499c243867f35a9a416223a5cb95bb9fc
reflective_1	training	1685330492	5cf55280-64741a3c	37dfba46cec456a2aa9cf9302b085af4c8e1d78b48b78886bdec3a6c5f39a9ba
reflective_2	test	350250176	5cf57961-14e064c0	21e174723adc6cab25cad8f0083255d02a3f02f386c30014b2f06f57391ab65a
repetitive	training	680112829	5cf53e1b-2889b2bd	ecd5a0a32e7a674f9bfa06e20fcbd8cd2bff88f2f221ebc208c6f0ec5ddd90ce
scale_change	test	146110787	5cf57424-8b57943	d1835e5ba62127d4dc43dc264d9ab074f085d571e1df0ee109e91f62fb0bc917
sfm_bench	training	264795517	5cf58648-fc8757d	5cb05ad9923ae48842713af9e44667736cf5a8e4ec7a7804f9300b6956e26f44
sfm_garden	training	358322384	5cf584ef-155b90d0	9309b8d5d096366a7eb1915b2891fc2b976d68b6c19d06901272699a3e13e7b2
sfm_house_loop	training	251851030	5cf585c4-f02f116	323481d3f34c196275e6cd0f8352250bdad02c10306b3723bcf619ab5125b9ae
sfm_lab_room_1	training	92923521	5cf586d9-589e681	7ba5520cceae2238f0aa1cac616f8c6e1b904353361dab4aea243b5bba234e16
sfm_lab_room_2	training	39727737	5cf5870e-25e3279	680f3956aa0e66a9f7445bdb4bd2d95c4cef411dcc25c2e63588cf8e01eaa153
sofa_1	training	339881034	5cf536fc-14422c4a	ea9b48eaf9df3929fe21fd5587e0f07d0cd96fab7e3b9a216f204f60aaff700d
sofa_2	training	243432812	5cf53710-e827d6c	5816110efc0637bb86472b9f2497e5acdbd677f00c80c4df88abc82c4a3e21e4
sofa_3	training	186267655	5cf537a7-b1a3807	9501c025690c589e932d3f270cbf8f8baca7b19be9f40279edda54ee98769f49
sofa_4	training	275906854	5cf53821-10720126	c8347f1081de9454885eb63b34cb834e9bfc3d6b14d431ca04e87c3e3f22160c
sofa_shake	training	175972654	5cf538ce-a7d212e	5fe008c9b89e4da866384268f8604e3b3f9a0426b9d5373f0f648467fa77e389
table_1	test	303650791	5cf53684-121957e7	a3e59219d4bd0dfd15780138a584aa290559313574fd286822d1667ad3583899
table_2	test	358079546	5cf536e6-1557dc3a	c48efe3052be4496fbdb35d9f472964e739125f20c9da1a5452deac092fa2275
table_3	training	452879157	5cf53698-1afe6335	130ab07369dca399d8962e0388d10f89d007e62f5cc5d7f6b8d6a50b8226c286
table_4	training	373166621	5cf536b4-163e121d	46daa928167114c28b8dbb26b4fdb169816cc075641d3153b3253da9cc4dde31
table_5	test	346704977	5cf53c0f-14aa4c51	c1683a3dc5531701726b1469aced89821508d9b344ff29deb97d9b1c3d4c528e
table_6	test	498647656	5cf53cdf-1db8c268	c71b85e6785a3bbbe3135ad855ab3c9dbdc28839ca7d1a399ebee8194fa2df87
table_7	training	591966781	5cf540cd-2348b23d	6af6cf7518a590fb519cbb120b6e4926e8b50c8b2b23ef55e01eb00af4cb3c63
table_global_light_changes	test	861646258	5cf565bd-335badb2	01e7fdf50769085e57556634d231f02d666a1a5f7710ef25b109b46bf61a0d25
table_local_light_changes	test	636750369	5cf567e2-25f40a21	d3e088606fb9d4b42805874897243d63ee684f0f64752f91abc70377638bab32
table_scene	test	423708742	5cf5649e-19414846	64d21229ebf0bb640c75a723ead8f0e08891eb538f4dcde24631651645d0421b
trashbin	test	204010188	5cf551ba-c28f2cc	601c4e07eed009362a6a09f2a142d2081293c37117a8c013db9bbe5611c75da9
vicon_light_1	training	293578681	5cf54d65-117fa7b9	8b8c36f8534d0cb3a6991136892d0737d4c658f34d756934b0be6a54b23a791b
vicon_light_2	training	181440157	5cf54e11-ad08e9d	c9a3711668ea9848db44ecfb47ba10ceccfb4aa6a60ceab0b95831c2f9df6ea5
